id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat
0,クイーンズスクエア横浜店 | ル サロンド ニナス,神奈川県,横浜市,西区みなとみらい２-３-９［アット！］１ｓｔ２Ｆ,みなとみらい駅徒歩2分以上,045-682-2740,"平日:11:00 - 22:00
土曜日:11:00 - 22:00
日祝:11:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/03008654/,FALSE,FALSE,TRUE,FALSE,35.456028,139.633759
1,小田急百貨店新宿ハルク店 | ル サロンド ニナス,東京都,新宿区,西新宿１-５-１小田急百貨店ハルクＭ２Ｆ,新宿駅徒歩2分以上,03-6304-5025,"平日:10:00 - 20:30
土曜日:10:00 - 20:30
日祝:10:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/03008895/,FALSE,FALSE,FALSE,FALSE,35.6923526,139.6990971
